train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
0.23755545914173126,0.0,0.909246563911438,0.0,0.0,0,49,,,,,,,,,,,,,,,
0.2182704359292984,0.3370552659034729,0.9023972749710083,0.6363636255264282,0.2222222238779068,0,99,,,,,,,,,,,,,,,
,,,,,,0,0.7724924683570862,0.0,0.8133561611175537,0.0,0.0,,,,,,,,,,
,,,,,,1,0.3341001868247986,0.0,0.8767123222351074,0.0,0.0,,,,,,,,,,
,,,,,,2,0.30272069573402405,0.0,0.8835616707801819,0.0,0.0,,,,,,,,,,
,,,,,,3,0.36313968896865845,0.0,0.8613013625144958,0.0,0.0,,,,,,,,,,
,,,,,,4,0.2032298445701599,0.0,0.9109588861465454,0.0,0.0,,,,,,,,,,
,,,,,,5,0.1159609705209732,0.0,0.9640411138534546,0.0,0.0,,,,,,,,,,
,,,,,,6,0.1788405478000641,0.0,0.9366438388824463,0.0,0.0,,,,,,,,,,
,,,,,,7,0.0598580539226532,0.0,0.9897260069847107,0.0,0.0,,,,,,,,,,
,,,,,,8,0.05542163923382759,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,9,0.05541215464472771,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,10,0.055415164679288864,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,11,0.05541704595088959,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,12,0.05539926886558533,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,13,0.05541222169995308,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,14,0.0554174929857254,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,15,0.05540821701288223,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,16,0.05541404336690903,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,17,0.05541688948869705,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,18,0.05541713908314705,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,19,0.05540795996785164,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,20,0.05542062595486641,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,21,0.05540771409869194,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,22,0.11398953944444656,0.0,0.9691780805587769,0.0,0.0,,,,,,,,,,
,,,,,,23,0.5349973440170288,0.0,0.8116438388824463,0.0,0.0,,,,,,,,,,
,,,,,,24,0.14183875918388367,0.0,0.9366438388824463,0.0,0.0,,,,,,,,,,
,,,,,,25,0.5059677362442017,0.0,0.8133561611175537,0.0,0.0,,,,,,,,,,
,,,,,,26,0.1532241255044937,0.0,0.926369845867157,0.0,0.0,,,,,,,,,,
,,,,,,27,0.14672718942165375,0.0,0.9537671208381653,0.0,0.0,,,,,,,,,,
,,,,,,28,0.1692305952310562,0.0,0.9280821681022644,0.0,0.0,,,,,,,,,,
,,,,,,29,0.12999147176742554,0.0,0.9623287916183472,0.0,0.0,,,,,,,,,,
