train_loss_step,train_mcc_step,train_acc_step,train_precision_step,train_recall_step,epoch,step,val_loss_step,val_mcc_step,val_acc_step,val_precision_step,val_recall_step,val_loss_epoch,val_mcc_epoch,val_acc_epoch,val_precision_epoch,val_recall_epoch,train_loss_epoch,train_mcc_epoch,train_acc_epoch,train_precision_epoch,train_recall_epoch
0.3391141891479492,0.0,0.25,1.0,0.25,0,49,,,,,,,,,,,,,,,
,,,,,,0,0.5205651521682739,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,1,0.5093764066696167,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,2,0.4279218912124634,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,3,0.478801965713501,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,4,0.5060051679611206,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,5,0.4840906262397766,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,6,0.7701935768127441,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,7,0.7701172828674316,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,8,0.7701482772827148,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,9,0.7701435089111328,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,10,0.7701950073242188,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,11,0.7701116800308228,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,12,0.770190954208374,0.0,1.0,0.0,0.0,,,,,,,,,,
,,,,,,13,0.5206116437911987,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,14,0.5097112059593201,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,15,0.42792341113090515,0.0,0.0,0.0,0.0,,,,,,,,,,
,,,,,,16,0.47879379987716675,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,17,0.5059887170791626,0.0,0.125,0.0,0.0,,,,,,,,,,
,,,,,,18,0.4840615391731262,0.0,0.125,0.0,0.0,,,,,,,,,,
